Docente,Nome projeto,Edital,Início ,Fim,Tipo
Aida Maria Jorge Ribeiro,Festival de Poesia do campus Campos-Guarus,"EDITAL N.º 85 - REITORIA, DE 7 DE MAIO DE 2018",01/08/18,31/07/19,extensão
Aida Maria Jorge Ribeiro,Festival de Poesia do campus Campos-Guarus,"Edital N.º 154 - Reitoria, de 9 de outubro de 2019",01/03/2020,31/12/2020,extensão
Betina Ivana Terra Azevedo,Projeto Vitalidade,"Edital Nº 150, de 04 de outubro de 2019",01/03/2020,31/12/2020,extensão
Diego da Silva Sales,Programa de Acompanhamento de Egressos: Um projeto piloto no curso de Engenharia Ambiental,"EDITAL N.º 51 – REITORIA, DE 20 DE MARÇO DE 2018",01/08/18,31/07/19,pesquisa
Diego da Silva Sales,Análise de Viabilidade para Implantação de um Sistema Fotovoltaico na Quadra de Esportes do campus Campos Guarus do Instituto Federal Fluminense,"EDITAL N.º 51 – REITORIA, DE 20 DE MARÇO DE 2018",01/08/18,31/07/19,pesquisa
Diego da Silva Sales,IFFRun: Corrida de rua e caminhada,"Edital Nº 150, de 04 de outubro de 2019",01/03/2020,31/12/2020,extensão
Diego da Silva Sales,Sistema Inteligente de Irrigação de Horta: Elaboração do módulo de medição de água,Jovens Talentos para Ciência 2019,01/07/2019,12/03/2020,pesquisa
Diego da Silva Sales,Quiz digital educacional: Uma ferramenta pedagógica multidisciplinar,Jovens Talentos para Ciência 2019,01/07/2019,12/03/2020,pesquisa
Milton Erthal Junior,Produção de mudas nativas do bioma mata atlântica no viveiro capivara,"EDITAL N.º 51 – REITORIA, DE 20 DE MARÇO DE 2018",01/08/18,31/07/19,integração
Milton Erthal Junior,Produção de Mudas de Árvores Nativas e Plantas Frutíferas no Viveiro Capivara,"Edital Nº 150, de 04 de outubro de 2019",01/03/2020,31/12/2020,integração
Milton Erthal Junior,Projeto Capivara: Educação Ambiental e reflorestamento na bacia hidrográfica do baixo Paraíba do Sul,"EDITAL N.º 51 – REITORIA, DE 20 DE MARÇO DE 2018",01/08/18,31/07/19,extensão
Rogerio de Avellar Campos Cordeiro,Sócio-click: reflexões e conversão dos olhares pela fotografia,"EDITAL N.º 51 – REITORIA, DE 20 DE MARÇO DE 2018",01/08/18,31/07/19,extensão
Rogerio de Avellar Campos Cordeiro,Engenhocas: protótipos para materialização do conhecimento,"EDITAL N.º 51 – REITORIA, DE 20 DE MARÇO DE 2018",01/08/18,31/07/19,extensão
Rogerio de Avellar Campos Cordeiro,Desenvolvimento de micro-estações meteorológicas para identificação e monitoramento de microclimas urbano na região de Campos dos Goytacazes,Jovens Talentos para Ciência 2019,01/07/2019,31/12/2020,pesquisa
Romulo da Silva Viana,Atenção à Saúde do Trabalhador,"EDITAL N.º 51 – REITORIA, DE 20 DE MARÇO DE 2018",01/08/18,31/07/19,extensão
Romulo da Silva Viana,Desenvolvimento de APP para monitoramento vacinal de crianças atendidas em uma UBS em Campos dos Goytacazes,Jovens Talentos para Ciência 2019,01/07/2019,31/12/2020,pesquisa
Tiago Tadeu Ribeiro Sousa,O campus Campos Guarus de Portas Abertas: venha conhecer o curso de Eletrônica,"EDITAL N.º 51 – REITORIA, DE 20 DE MARÇO DE 2018",01/08/18,31/07/19,extensão
Tiago Tadeu Ribeiro Sousa,Imersão Digital: a tecnologia sem limites,"Edital Nº 150, de 04 de outubro de 2019",01/03/2020,31/12/2020,extensão
